Title,Author,Year,Language,CoverType,Links,Price,Discount
Meditations,Marcus Aurelius,2006.0,English,Paperback,https://www.libristo.pl/book/meditations-4024582.html,48.12,15
The Daily Stoic,"Ryan Holiday, Stephen Hanselman",2016.0,English,Paperback,https://www.libristo.pl/book/daily-stoic.html,56.85,14
Meditations,Marcus Aurelius,2003.0,English,Paperback,https://www.libristo.pl/book/meditations-2115357.html,46.6,14
The Satanic Bible,Anton Szandor Lavey,1992.0,English,Paperback,https://www.libristo.pl/book/satanic-bible.html,48.12,15
How to Think Like a Roman Emperor,-,2020.0,English,Paperback,https://www.libristo.pl/book/how-to-think-like-a-roman-emperor-the-stoic-philosophy-of-marcus-aurelius_24505457.html,89.4,2
The Myth of Sisyphus,Albert Camus,2005.0,English,Paperback,https://www.libristo.pl/book/myth-of-sisyphus.html,28.09,3
Man's Search for Meaning,Viktor Emil Frankl,2019.0,English,Paperback,https://www.libristo.pl/book/mans-search-for-meaning.html,29.61,3
The Kybalion: Centenary Edition,Three Initiates,2018.0,English,Hardback,https://www.libristo.pl/book/kybalion-centenary-e.html,83.61,4
The Righteous Mind,Jonathan Haidt,2013.0,English,Paperback,https://www.libristo.pl/book/righteous-mind-1284444.html,68.24,16
The Psychology of Selling,Brian Tracy,2006.0,English,Paperback,https://www.libristo.pl/book/psychology-of-selling-2405842.html,63.11,16
Meditations,Marcus Aurelius,2002.0,English,Hardback,https://www.libristo.pl/book/meditations-5194589.html,111.43,6
The Holy Bible - King James Version,Collins KJV Bibles,2001.0,English,Paperback,https://www.libristo.pl/book/holy-bible-4001347.html,44.7,15
The Secret Teachings of All Ages,Manly P. Hall,2010.0,English,Paperback,https://www.libristo.pl/book/secret-teachings-of-all-ages.html,134.21,0
Killers of the Flower Moon,David Grann,2018.0,English,Paperback,https://www.libristo.pl/book/killers-of-the-flower-moon-18309240.html,47.55,16
Witchcraft,Anastasia Greyleaf,2016.0,English,Hardback,https://www.libristo.pl/book/witchcraft-2896139.html,57.99,16
Free Will,Sam Harris,2012.0,English,Paperback,https://www.libristo.pl/book/free-will-1426579.html,42.61,16
Nausea,Jean Paul Sartre,2000.0,English,Paperback,https://www.libristo.pl/book/nausea.html,52.86,16
Diana: Her True Story - In Her Own Words,Andrew Morton,2019.0,English,Paperback,https://www.libristo.pl/book/diana-her-true-story-in-her-own-words_20247518.html,50.2,15
Bloodlands,Timothy Snyder,2011.0,English,Paperback,https://www.libristo.pl/book/bloodlands.html,62.92,15
British Soldier,Jean Bouchery,2013.0,English,Hardback,https://www.libristo.pl/book/british-soldier-from-d-day-to-ve-day.html,229.13,2
Hayek on Liberty,John Gray,1998.0,English,Paperback,https://www.libristo.pl/book/hayek-on-liberty.html,334.68,0
"History of Religious Ideas, Volume 1",Mircea Eliade,0.0,English,Paperback,https://www.libristo.pl/book/history-of-religious-ideas.html,136.68,0
"History of Religious Ideas, Volume 2",Mircea Eliade,0.0,English,Paperback,https://www.libristo.pl/book/history-of-religious-ideas-4544405.html,202.26,0
Abelard: Ethical Writings,Peter Abelard,1995.0,English,Paperback,https://www.libristo.pl/book/ethical-writings-5125200.html,95.29,4
River War,Winston Churchill,2013.0,English,Paperback,https://www.libristo.pl/book/river-war-4840153.html,88.93,0
Studies in Hinduism,René Guénon,2004.0,English,Hardback,https://www.libristo.pl/book/studies-in-hinduism-7418914.html,193.15,0
Art of Living,Epictetus Epictetus,2012.0,English,Paperback,https://www.libristo.pl/book/art-of-living-8811117.html,67.29,0
"Hittite Myths, Second Edition",Harry A Hoffner,1998.0,English,Paperback,https://www.libristo.pl/book/hittite-myths-second-edition.html,122.06,0
Great War at Sea,Lawrence Sondhaus,2014.0,English,Hardback,https://www.libristo.pl/book/the-great-war-at-sea.html,200.94,0
Tattooing the World,J. Ellis,2008.0,English,Paperback,https://www.libristo.pl/book/tattooing-the-world.html,175.31,5
Archimedes Codex,William Reviel,2008.0,English,Paperback,https://www.libristo.pl/book/archimedes-codex.html,52.86,16
Core of the Yoga Sutras,B. K. S. Iyengar,2012.0,English,Paperback,https://www.libristo.pl/book/core-of-the-yoga-sutras.html,78.49,16
Gunship Ace,Al Venter,2012.0,English,Hardback,https://www.libristo.pl/book/gunship-ace.html,155.19,2
Hellenistic Philosophy,K. Potter J. Mannion,1997.0,English,Paperback,https://www.libristo.pl/book/hellenistic-philosophy.html,118.64,5
Alexander the Great,Arrian,2013.0,English,Paperback,https://www.libristo.pl/book/alexander-the-great-1238264.html,52.86,16
Fiore dei Liberi's Armizare,Robert N. Charrette,2011.0,English,Paperback,https://www.libristo.pl/book/fiore-dei-liberi-s-armizare.html,244.32,0
Diary of a Drug Fiend,Aleister Crowley,2018.0,English,Hardback,https://www.libristo.pl/book/diary-of-a-drug-fiend-18379688.html,88.74,16
M-1 Helmet of the World War II GI,Pieter Oosterman,2010.0,English,Hardback,https://www.libristo.pl/book/m-1-helmet-of-the-world-war-ii-gi.html,386.98,5
Swerve,Stephen Greenblatt,2012.0,English,Paperback,https://www.libristo.pl/book/the-swerve-die-wende-wie-die-renaissance-begann-englische-ausgabe.html,47.36,10
The Conspiracy Against the Human Race,Thomas Ligotti,2018.0,English,Paperback,https://www.libristo.pl/book/conspiracy-against-the-human-race-19748654.html,72.23,14
Finite and Infinite Games,James Carse,2013.0,English,Paperback,https://www.libristo.pl/book/finite-and-infinite-games.html,82.29,6
Autobiography of a Yogi,Paramahansa Yogananda,2004.0,English,Paperback,https://www.libristo.pl/book/autobiography-of-a-yogi.html,52.1,0
Antifragile,Nassim Nicholas Taleb,2013.0,English,Paperback,https://www.libristo.pl/book/antifragile-1299678.html,65.01,14
Tao Te Ching,Lao Tzu,1997.0,English,Paperback,https://www.libristo.pl/book/tao-te-ching-4298364.html,26.38,3
Tao of Pooh,HOFF  BENJAMIN,2018.0,English,Paperback,https://www.libristo.pl/book/the-tao-of-pooh-19886727.html,44.7,15
Prince: The Original Classic,Nicolo Machiavelli,2010.0,English,Hardback,https://www.libristo.pl/book/prince-4171970.html,47.55,24
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,2006.0,English,Paperback,https://www.libristo.pl/book/the-happiness-hypothesis-finding-modern-truth-in-ancient-wisdom.html,86.46,5
Hero with a Thousand Faces,Joseph Campbell,2008.0,English,Hardback,https://www.libristo.pl/book/hero-with-a-thousand-faces-1219098.html,101.56,10
An Exorcist Explain the Demonic,Gabriele Amorth,2016.0,English,Paperback,https://www.libristo.pl/book/an-exorcist-explain-the-demonic-the-antics-of-satan-and-his-army-of-fallen-angels.html,80.77,0
Immortality Key,Brian C. Muraresku,2020.0,English,Hardback,https://www.libristo.pl/book/the-immortality-key-uncovering-the-secret-history-of-the-religion-with-no-name_24505334.html,123.39,15
In the Buddha's Words,Bhikkhu Bodhi,2005.0,English,Paperback,https://www.libristo.pl/book/in-the-buddha-s-words.html,99.09,16
Brief History of Japan,Jonathan Clements,2017.0,English,Paperback,https://www.libristo.pl/book/brief-history-of-japan.html,73.36,16
Meditations,Marcus Aurelius,2019.0,English,Hardback,https://www.libristo.pl/book/meditations-the-philosophy-classic_22548151.html,56.66,25
The Way of Zen,Alan Watts,1999.0,English,Paperback,https://www.libristo.pl/book/way-of-zen.html,82.29,6
Bhagavad Gita as it is,S.Bhaktivedanta Prabhupada,2006.0,English,Hardback,https://www.libristo.pl/book/bhagavad-gita-as-it-is-9067064.html,66.53,0
Londoners,Craig Taylor,2012.0,English,Paperback,https://www.libristo.pl/book/londoners-1224506.html,55.71,15
Wisdom Of Insecurity,Alan Watts,1987.0,English,Paperback,https://www.libristo.pl/book/wisdom-of-insecurity-4645048.html,52.86,16
"KJV Holy Bible, Personal Size Giant Print Reference Bible, Deluxe Burgundy Leathersoft, Thumb Indexed, 43,000 Cross References, Red Letter, Comfort Pr",Thomas Nelson,2017.0,English,Hardback,https://www.libristo.pl/book/kjv-dlx-ref-bible-personal-siz-16089141.html,229.32,2
Mein Kampf (James Murphy Translation),Adolf Hitler,2010.0,English,Paperback,https://www.libristo.pl/book/mein-kampf-james-murphy-translation.html,153.29,0
Eastern Front 1914-1917,Norman Stone,1998.0,English,Paperback,https://www.libristo.pl/book/eastern-front-1914-1917.html,68.24,16
Spirit of the Celtic Gods and Goddesses,"Kathryn Hinds, Courtney Weber",2020.0,English,Paperback,https://www.libristo.pl/book/the-spirit-of-the-celtic-gods-and-goddesses-their-history-magical-power-and-healing-energies_24668611.html,98.52,0
America's Secret Establishment,Antony C Sutton,2004.0,English,Paperback,https://www.libristo.pl/book/america-s-secret-establishment.html,98.52,2
Blazing Splendor,Erik Pema Kunsang,2005.0,English,Paperback,https://www.libristo.pl/book/blazing-splendor.html,185.75,1
Encyclopedia of Demons and Demonology,Rosemary Ellen Guiley,2009.0,English,Paperback,https://www.libristo.pl/book/encyclopedia-of-demons-and-demonology-1234669.html,125.29,0
Thirty Years' War,Samuel R Gardiner,2012.0,English,Paperback,https://www.libristo.pl/book/thirty-years-war-7415904.html,113.52,0
Reverence for Wood,Eric Sloane,2012.0,English,Paperback,https://www.libristo.pl/book/reverence-for-wood.html,54.38,0
Wonders of the Human Body,George Washington Carey,2013.0,English,Paperback,https://www.libristo.pl/book/wonders-of-the-human-body-8868605.html,72.6,0
Material Virtual and Temporal Compositions: On the Relationships between Objects,"Maria Cruz Fernandez Castro, Barry W. Cunliffe",2001.0,English,Paperback,https://www.libristo.pl/book/material-virtual-and-temporal-compositions-on-the-relationships-between-objects_22291864.html,271.18,0
Spiritist Fallacy,René Guénon,2004.0,English,Hardback,https://www.libristo.pl/book/spiritist-fallacy-7418915.html,211.09,0
Ancient Beliefs and Modern Superstitions,René Guénon,2002.0,English,Paperback,https://www.libristo.pl/book/ancient-beliefs-and-modern-superstitions.html,121.11,0
Mitsubishi Type 1 Rikko 'Betty' Units of World War 2,Osamu Tagaya,2001.0,English,Paperback,https://www.libristo.pl/book/mitsubishi-type-1-rikko-betty-units-of-world-war-2.html,108.77,10
Life and Visions of Yeshe Tsogyal,Terton Drime Kunga,2017.0,English,Paperback,https://www.libristo.pl/book/secret-life-story-of-yeshe-tso.html,115.41,6
Dancing into Battle,Nick Foulkes,2007.0,English,Paperback,https://www.libristo.pl/book/dancing-into-battle.html,52.86,16
Medieval Armoured Combat,Dierk Hagedorn,2018.0,English,Paperback,https://www.libristo.pl/book/medieval-armoured-combat.html,104.21,16
Tsushima 1905,Mark Lardas,2018.0,English,Paperback,https://www.libristo.pl/book/tsushima-1905-19261599.html,83.81,16
African Origin of Civilization,Cheikh Anta Diop,0.0,English,Paperback,https://www.libristo.pl/book/african-origin-of-civilization.html,85.7,1
What is a Law of Nature?,D. M. Armstrong,2016.0,English,Paperback,https://www.libristo.pl/book/what-is-a-law-of-nature-2838479.html,107.63,14
Spiritual Authority and Temporal Power,René Guénon,2001.0,English,Paperback,https://www.libristo.pl/book/spiritual-authority-and-temporal-power.html,115.22,0
"Press, Politics and the Public Sphere in Europe and North America, 1760-1820",Hannah BarkerSimon Burrows,2007.0,English,Paperback,https://www.libristo.pl/book/press-politics-and-the-public-sphere-in-europe-and-north-america-1760-1820.html,284.47,0
Medieval Combat in Colour,HANS TALHOFFER,2018.0,English,Paperback,https://www.libristo.pl/book/medieval-combat-in-colour.html,104.21,16
Meditations on First Philosophy,René Descartes,2008.0,English,Paperback,https://www.libristo.pl/book/meditations-on-first-philosophy-4030142.html,47.55,16
Europe,Norman Davies,2014.0,English,Paperback,https://www.libristo.pl/book/europe-2311522.html,155.75,16
Red Prince,Timothy Snyder,2009.0,English,Paperback,https://www.libristo.pl/book/red-prince.html,68.24,16
Book of Chuang Tzu,Chuang Tzu,2006.0,English,Paperback,https://www.libristo.pl/book/book-of-chuang-tzu.html,57.99,16
Amplified Outreach Bible,Zondervan,2018.0,English,Paperback,https://www.libristo.pl/book/amplified-outreach-bible-paperback.html,32.17,16
Republic,Platón,2012.0,English,Paperback,https://www.libristo.pl/book/republic-1198394.html,52.86,16
